;district;size (m²);price (M in HUF);balcony (m²);address;room(s);half_room(s)
24744;007;101;107.0;;Belső-Erzsébetváros;3;
24745;005;110;154.9;;Lipótváros;3;
24746;007;104;119.0;;Belső-Erzsébetváros;4;
24747;007;60;49.0;;Marek József utca;3;
24748;007;98;83.8;;Belső-Erzsébetváros;4;1.0
24749;008;59;39.9;;Teleki László tér;2;1.0
24750;005;33;36.0;;Belváros;1;
24751;007;99;141.39;57.98;Nagy Diófa utca;4;
24752;009;57;47.9;;Középső-Ferencváros - Rehabilitációs terület;3;
24753;013;100;96.0;;Visegrádi utca;3;
24754;017;28;7.0;2.0;Pesti út;1;
24755;014;67;45.9;;Nagy Lajos király útja 52-54 fsz.;2;1.0
24756;014;80;76.0;7.0;Róna utca;3;
24757;002;172;129.0;;Pasarét;4;1.0
24758;020;54;30.0;3.0;Baross utca;2;
24759;002;90;85.0;;Újlak;4;
24760;006;81;79.9;;Külső-Terézváros;2;
24761;020;49;37.0;;Erzsébetfalva;2;
